number_Models,number_Datasets,criticalValue
3,3,6.000
3,4,6.500
3,5,6.400
3,6,7.000
3,7,7.143
3,8,6.250
3,9,6.222
3,10,6.200
3,11,6.545
3,12,6.167
3,13,6.000
3,14,6.143
3,15,6.400
4,2,6.000
4,3,7.400
4,4,7.800
4,5,7.800
4,6,7.600
4,7,7.800
4,8,7.650
4,9,7.800
4,10,7.800
4,11,7.909
4,12,7.900
4,13,7.965
4,14,7.386
4,15,8.040
5,2,7.600
5,3,8.533
5,4,8.800
5,5,8.960
5,6,9.067
5,7,9.143
5,8,9.300
5,9,9.244
5,10,9.280
6,2,9.143
6,3,9.857
6,4,10.286
6,5,10.486
6,6,10.571
6,7,10.674
6,8,10.714
6,9,10.778
6,10,10.800
